*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
393;;;48.9483;-6.98257;0;Bottom;Hole9
394;;;35.1482;-33.0825;0;Bottom;Via152
395;;;5.6261;-38.405;0;Bottom;Copper Fill69
396;220;0805 [SMD];9.24838;-96.8076;90;Bottom;10k
397;;;4.24819;-64.5825;0;Bottom;Via137
398;;;47.8028;-89.5987;0;Bottom;Copper Fill179
399;;soic-14;24.1788;-58.9278;180;Bottom;mcp6004
400;220;0805 [SMD];15.5482;-64.1576;-90;Bottom;560p
401;;;5.9436;-38.7479;0;Bottom;Copper Fill71
402;;;58.7121;-59.4108;0;Bottom;Copper Fill50
403;220;0805 [SMD];44.6484;-43.1575;-90;Bottom;24k9
404;;;43.5102;-35.6491;0;Bottom;Copper Fill140
405;220;0805 [SMD];18.2482;-21.0575;-90;Bottom;100k
406;;;52.5018;-84.0234;0;Bottom;Copper Fill3
407;;;51.7906;-73.7872;0;Bottom;Copper Fill222
408;;;12.192;-94.1199;0;Bottom;Copper Fill153
409;220;0805 [SMD];15.5482;-54.7577;-90;Bottom;560p
410;;;25.0444;-60.8459;0;Bottom;Copper Fill97
411;220;0805 [SMD];60.3233;-35.6825;0;Bottom;2k
412;;;24.638;-66.7387;0;Bottom;Copper Fill151
413;;;13.1826;-94.1199;0;Bottom;Copper Fill154
414;;;14.8917;-6.98257;0;Bottom;Hole11
415;;;23.2664;-10.4015;0;Bottom;Copper Fill40
416;100nF;0805 [SMD, multilayer];47.8073;-73.2986;0;Bottom;100n
417;;;42.4434;-55.1563;0;Bottom;Copper Fill166
418;;;28.9941;-39.4972;0;Bottom;Copper Fill141
419;100nF;0805 [SMD, multilayer];41.2733;-84.6626;0;Bottom;510R
420;;;54.4483;-38.7825;0;Bottom;Via53
421;220;0805 [SMD];15.5481;-68.5575;90;Bottom;100k
422;;;55.1482;-89.1826;0;Bottom;Via126
423;;;2.3622;-76.759;0;Bottom;Copper Fill219
